a,2.50000e-02,2.50000e-02,3.10000e-01,3.10000e-01
$2,2.63438e+00,2.63438e+00,1.03412e-02,1.03412e-02
$1,2.49999e+00,7.06875e-02,2.49999e+00,7.06875e-02
out,2.05375e+00,1.08203e+00,1.00413e+00,3.24115e-02
b,1.30000e-03,4.40000e+00,1.30000e-03,4.40000e+00
